Country;Region;Site;coral_cover;geometry;historical_1995_2014_ensemble;ssp119_2021_2040_ensemble;ssp126_2021_2040_ensemble;ssp245_2021_2040_ensemble;ssp370_2021_2040_ensemble;ssp585_2021_2040_ensemble;ssp119_2041_2060_ensemble;ssp126_2041_2060_ensemble;ssp245_2041_2060_ensemble;ssp370_2041_2060_ensemble;ssp585_2041_2060_ensemble;ssp119_2081_2100_ensemble;ssp126_2081_2100_ensemble;ssp245_2081_2100_ensemble;ssp370_2081_2100_ensemble;ssp585_2081_2100_ensemble
FLORIDA KEYS;Middle Keys;1259;5;c(278.97603, 24.65291);8.062358629703521;8.02520993600289;8.012280583381653;8.007380433877309;8.004805133740108;8.003133179744085;8.018635726471741;7.98886022567749;7.960660103956858;7.939487725496292;7.927153996626536;8.042207950353623;7.992641979455948;7.901461579402288;7.803116450707118;7.718257663647334
FLORIDA KEYS;Middle Keys;1285;5;c(278.89078, 24.62667);8.062358629703521;8.02520993600289;8.012280583381653;8.007380433877309;8.004805133740108;8.003133179744085;8.018635726471741;7.98886022567749;7.960660103956858;7.939487725496292;7.927153996626536;8.042207950353623;7.992641979455948;7.901461579402288;7.803116450707118;7.718257663647334
FLORIDA KEYS;Middle Keys;1286;1;c(278.89015, 24.62732);8.062358629703521;8.02520993600289;8.012280583381653;8.007380433877309;8.004805133740108;8.003133179744085;8.018635726471741;7.98886022567749;7.960660103956858;7.939487725496292;7.927153996626536;8.042207950353623;7.992641979455948;7.901461579402288;7.803116450707118;7.718257663647334
FLORIDA KEYS;Middle Keys;1303;9;c(279.2447, 24.76335);8.062358629703521;8.02520993600289;8.012280583381653;8.007380433877309;8.004805133740108;8.003133179744085;8.018635726471741;7.98886022567749;7.960660103956858;7.939487725496292;7.927153996626536;8.042207950353623;7.992641979455948;7.901461579402288;7.803116450707118;7.718257663647334
FLORIDA KEYS;Middle Keys;1310;0;c(279.24796, 24.76754);8.062358629703521;8.02520993600289;8.012280583381653;8.007380433877309;8.004805133740108;8.003133179744085;8.018635726471741;7.98886022567749;7.960660103956858;7.939487725496292;7.927153996626536;8.042207950353623;7.992641979455948;7.901461579402288;7.803116450707118;7.718257663647334
FLORIDA KEYS;Middle Keys;1315;8;c(278.82649, 24.61098);8.076519699449893;8.02520993600289;8.028076919582155;8.024084134675839;8.019367312060462;8.01839579211341;8.018635726471741;8.004870268592128;7.9814572599199085;7.960014738639196;7.946245937877231;8.042207950353623;8.01122837971758;7.926101237535477;7.830683280141265;7.7502980360278375
FLORIDA KEYS;Middle Keys;1317;5;c(278.93605, 24.63832);8.062358629703521;8.02520993600289;8.012280583381653;8.007380433877309;8.004805133740108;8.003133179744085;8.018635726471741;7.98886022567749;7.960660103956858;7.939487725496292;7.927153996626536;8.042207950353623;7.992641979455948;7.901461579402288;7.803116450707118;7.718257663647334
FLORIDA KEYS;Middle Keys;1334;7;c(279.24973, 24.76773);8.062358629703521;8.02520993600289;8.012280583381653;8.007380433877309;8.004805133740108;8.003133179744085;8.018635726471741;7.98886022567749;7.960660103956858;7.939487725496292;7.927153996626536;8.042207950353623;7.992641979455948;7.901461579402288;7.803116450707118;7.718257663647334
FLORIDA KEYS;Middle Keys;1335;15;c(278.89089, 24.62336);8.076519699449893;8.02520993600289;8.028076919582155;8.024084134675839;8.019367312060462;8.01839579211341;8.018635726471741;8.004870268592128;7.9814572599199085;7.960014738639196;7.946245937877231;8.042207950353623;8.01122837971758;7.926101237535477;7.830683280141265;7.7502980360278375
FLORIDA KEYS;Middle Keys;1340;16;c(278.9678, 24.64668);8.062358629703521;8.02520993600289;8.012280583381653;8.007380433877309;8.004805133740108;8.003133179744085;8.018635726471741;7.98886022567749;7.960660103956858;7.939487725496292;7.927153996626536;8.042207950353623;7.992641979455948;7.901461579402288;7.803116450707118;7.718257663647334
FLORIDA KEYS;Middle Keys;1345;5;c(278.88718, 24.62293);8.076519699449893;8.02520993600289;8.028076919582155;8.024084134675839;8.019367312060462;8.01839579211341;8.018635726471741;8.004870268592128;7.9814572599199085;7.960014738639196;7.946245937877231;8.042207950353623;8.01122837971758;7.926101237535477;7.830683280141265;7.7502980360278375
FLORIDA KEYS;Middle Keys;1383;40;c(279.18465, 24.72227);8.062358629703521;8.02520993600289;8.012280583381653;8.007380433877309;8.004805133740108;8.003133179744085;8.018635726471741;7.98886022567749;7.960660103956858;7.939487725496292;7.927153996626536;8.042207950353623;7.992641979455948;7.901461579402288;7.803116450707118;7.718257663647334
FLORIDA KEYS;Middle Keys;1552;18;c(278.93968, 24.67428);8.062358629703521;8.02520993600289;8.012280583381653;8.007380433877309;8.004805133740108;8.003133179744085;8.018635726471741;7.98886022567749;7.960660103956858;7.939487725496292;7.927153996626536;8.042207950353623;7.992641979455948;7.901461579402288;7.803116450707118;7.718257663647334
FLORIDA KEYS;Middle Keys;1884;11;c(278.79123, 24.59374);8.076519699449893;8.02520993600289;8.028076919582155;8.024084134675839;8.019367312060462;8.01839579211341;8.018635726471741;8.004870268592128;7.9814572599199085;7.960014738639196;7.946245937877231;8.042207950353623;8.01122837971758;7.926101237535477;7.830683280141265;7.7502980360278375
FLORIDA KEYS;Upper Keys;1065;22;c(279.57239, 25.04154);8.062116159995396;8.028259684642157;8.012249618768692;8.007455233732859;8.004906197388967;8.003077771266302;8.021954195698102;7.9888830244541165;7.960569457213084;7.939592093229294;7.927277920643489;8.044987157980602;7.992835875352224;7.901569414138794;7.803450932105382;7.718610705931981
FLORIDA KEYS;Upper Keys;1067;4;c(279.76109, 25.23881);8.058139218886692;8.028259684642157;8.00860264102618;8.004284318288168;8.001574428876241;7.999665337800979;8.021954195698102;7.985403041044871;7.95783021847407;7.93689862092336;7.924681413173675;8.044987157980602;7.9891252299149835;7.898992113272349;7.80152538617452;7.717344355583191
FLORIDA KEYS;Upper Keys;1068;11;c(279.60298, 25.06113);8.062116159995396;8.028259684642157;8.012249618768692;8.007455233732859;8.004906197388967;8.003077771266302;8.021954195698102;7.9888830244541165;7.960569457213084;7.939592093229294;7.927277920643489;8.044987157980602;7.992835875352224;7.901569414138794;7.803450932105382;7.718610705931981
FLORIDA KEYS;Upper Keys;1123;2;c(279.61985, 25.04008);8.062116159995396;8.028259684642157;8.012249618768692;8.007455233732859;8.004906197388967;8.003077771266302;8.021954195698102;7.9888830244541165;7.960569457213084;7.939592093229294;7.927277920643489;8.044987157980602;7.992835875352224;7.901569414138794;7.803450932105382;7.718610705931981
